VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2020 12:56:15 AM,01/01/2020 01:04:56 AM,1,1.99,1,N,116,166,1,9,0.5,0.5,2.06,0,0.3,12.36,0
2,01/01/2020 12:15:20 AM,01/01/2020 12:29:00 AM,1,3.74,1,N,141,112,1,13.5,0.5,0.5,3.46,0,0.3,20.76,2.5
2,01/01/2020 12:30:34 AM,01/01/2020 12:34:24 AM,1,0.65,1,N,112,112,2,4.5,0.5,0.5,0,0,0.3,5.8,0
2,01/01/2020 12:54:05 AM,01/01/2020 12:58:05 AM,1,1.42,1,N,140,263,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 12:46:16 AM,01/01/2020 12:49:56 AM,1,0.65,1,N,229,229,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 12:52:45 AM,01/01/2020 01:13:18 AM,1,7.05,1,N,229,116,1,22.5,0.5,0.5,6.58,0,0.3,32.88,2.5
1,01/01/2020 12:17:10 AM,01/01/2020 12:25:50 AM,2,1.2,1,N,237,229,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,01/01/2020 12:28:32 AM,01/01/2020 12:39:35 AM,2,3.5,1,N,229,179,2,12.5,3,0.5,0,0,0.3,16.3,2.5
1,01/01/2020 12:33:12 AM,01/01/2020 12:34:20 AM,1,0.5,1,N,263,263,2,3.5,3,0.5,0,0,0.3,7.3,2.5
1,01/01/2020 12:43:24 AM,01/01/2020 12:54:32 AM,1,3.3,1,N,263,193,1,12,3,0.5,1,0,0.3,16.8,2.5
2,01/01/2020 12:10:27 AM,01/01/2020 12:24:39 AM,1,1.48,1,N,68,79,1,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,01/01/2020 12:29:00 AM,01/01/2020 12:33:45 AM,1,0.46,1,N,79,79,1,5,0.5,0.5,0.88,0,0.3,9.68,2.5
2,01/01/2020 12:36:06 AM,01/01/2020 12:58:01 AM,1,9.28,1,N,79,42,1,27,0.5,0.5,6.16,0,0.3,36.96,2.5
1,01/01/2020 12:16:21 AM,01/01/2020 12:32:53 AM,1,2,1,N,48,234,1,11.5,3,0.5,2.3,0,0.3,17.6,2.5
1,01/01/2020 12:40:01 AM,01/01/2020 01:16:16 AM,1,13.6,1,N,234,221,2,40.5,3,0.5,0,18.36,0.3,62.66,2.5
2,01/01/2020 12:45:19 AM,01/01/2020 01:00:10 AM,6,3.96,1,N,161,74,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
2,01/01/2020 12:07:14 AM,01/01/2020 12:37:35 AM,2,18.39,1,N,132,17,1,50.5,0.5,0.5,10.36,0,0.3,62.16,0
1,01/01/2020 12:12:22 AM,01/01/2020 12:31:19 AM,1,4.3,1,N,141,249,1,15.5,3,0.5,3.7,0,0.3,23,2.5
2,01/01/2020 12:52:06 AM,01/01/2020 01:08:24 AM,5,2.09,1,N,140,142,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
2,01/01/2020 12:23:56 AM,01/01/2020 12:52:58 AM,1,1.85,1,N,43,164,2,17.5,0.5,0.5,0,0,0.3,21.3,2.5
2,01/01/2020 12:53:54 AM,01/01/2020 01:05:15 AM,1,1.23,1,N,164,107,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5
